Käyttöönottovuosi,Merkki,Malli,"Katsastusten
lukumäärä",Hylkäys-%,"Ajettujen
kilometrien
keskiarvo","Ajettujen
kilometrien
mediaani",Yleisin hylkäyssyy,"Toiseksi yleisin
hylkäyssyy","Kolmanneksi yleisin
hylkäyssyy"
2003,Merkit yhteensä,Mallit yhteensä,135827,35.03,239000,228000,Etuakselisto,"Seisontajarrun
dynamometritesti",Käyttöjarru
2003,Alfa Romeo,Mallit yhteensä,322,47.2,196000,198000,Etuakselisto,"Alustan kotelot ja
pohjalevy","Sisäinen
valvontajärjestelmä
(OBD)"
2003,Alfa Romeo,156,254,46.06,203000,202000,Etuakselisto,"Alustan kotelot ja
pohjalevy","Sisäinen
valvontajärjestelmä
(OBD)"
2003,Audi,Mallit yhteensä,4790,31.84,268000,257000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2003,Audi,A2,114,35.96,184000,179000,"Jousitus ja
iskunvaimennus",Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2003,Audi,A3,902,34.15,230000,221000,"Jousitus ja
iskunvaimennus",Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2003,Audi,A4,2377,30.96,282000,272000,Etuakselisto,Käyttöjarru,"Sisäinen
valvontajärjestelmä
(OBD)"
2003,Audi,A6,1184,33.45,286000,275000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2003,BMW,Mallit yhteensä,4114,40.35,270000,260000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2003,BMW,3,2121,41.44,257000,248000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2003,BMW,5,1351,42.71,303000,295000,"Seisontajarrun
dynamometritesti",Etuakselisto,Käyttöjarru
2003,BMW,X5,310,39.35,305000,306000,Etuakselisto,Käyttöjarru,"Seisontajarrun
dynamometritesti"
2003,BMW,Z4,185,22.7,140000,140000,"Sisäinen
valvontajärjestelmä
(OBD)",Käyttöjarru,Renkaat ja vanteet
2003,Chevrolet,Mallit yhteensä,165,46.67,221000,221000,"Alustan kotelot ja
pohjalevy","Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
2003,Chevrolet,TRANS SPORT,112,55.36,247000,237000,"Alustan kotelot ja
pohjalevy","Seisontajarrun
dynamometritesti","Sisäinen
valvontajärjestelmä
(OBD)"
